Anchor_Name,Anchor_Color,FPT_Price,FPT_Stock,Anchor_Full,CPS_Match,CPS_Price,CPS_Stock,CPS_Score,HoangHa_Match,HoangHa_Price,HoangHa_Stock,HoangHa_Score,Viettel_Match,Viettel_Price,Viettel_Stock,Viettel_Score,DDV_Match,DDV_Price,DDV_Stock,DDV_Score,MW_Match,MW_Price,MW_Stock,MW_Score
iPhone 16 Pro Max 256GB,Titan Sa Mạc,31290000,Yes,iPhone 16 Pro Max 256GB Titan Sa Mạc,Điện thoại iPhone 16 Pro Max 256GB,31590000.0,Yes,0.9913575053215027,iPhone 16 Pro Max (256GB),30490000.0,Yes,0.9856521487236023,iPhone 16 Pro Max 256GB,30890000.0,Yes,1.000000238418579,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9745845198631287,iPhone 16 Pro Max 256GB,31590000.0,Yes,1.000000238418579
iPhone 16 Pro 128GB,Titan Tự nhiên,25490000,Yes,iPhone 16 Pro 128GB Titan Tự nhiên,iPhone 16 Pro 128GB,25590000.0,Yes,0.9787045121192932,iPhone 16 Pro (128GB),24990000.0,Yes,0.9671415090560913,iPhone 16 Pro 128GB,24990000.0,Yes,0.9787044525146484,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.8959954380989075,iPhone 16 Pro 128GB,25590000.0,Yes,0.9926483035087585
iPhone 16 Plus 128GB,Hồng,23790000,Yes,iPhone 16 Plus 128GB Hồng,iPhone 16 Plus 128GB,23790000.0,Yes,0.9999996423721313,iPhone 16 Plus (128GB),22990000.0,No,0.9820859432220459,iPhone 16 Plus 128GB,23490000.0,Yes,0.9999997615814209,iPhone 16 Plus 128GB Chính hãng (VN/A),23690000.0,Yes,0.9637470841407776,iPhone 16 Plus 128GB,23990000.0,Yes,0.9999997615814209
iPhone 15 128GB,Hồng,16790000,Yes,iPhone 15 128GB Hồng,iPhone 15 128GB,16890000.0,Yes,1.000000238418579,iPhone 15 (128GB),16790000.0,Yes,0.9592694044113159,iPhone 15 256GB,19990000.0,Yes,0.9781879782676697,iPhone 15 128GB Chính hãng (VN/A),16590000.0,Yes,0.9519252181053162,iPhone 16 128GB,19990000.0,Yes,0.9889526963233948
iPhone 16 128GB,Trắng,19790000,Yes,iPhone 16 128GB Trắng,iPhone 16 128GB,19790000.0,Yes,1.0,iPhone 16 (128GB),19990000.0,Yes,0.9820132851600647,iPhone 16e 128GB,12490000.0,Yes,0.9911813139915466,iPhone 16 128GB Chính Hãng (VN/A),19690000.0,Yes,0.9537922739982605,iPhone 16 128GB,19990000.0,Yes,1.0
iPhone 13 128GB,Trắng,12090000,Yes,iPhone 13 128GB Trắng,iPhone 13 128GB,12090000.0,Yes,1.0000001192092896,iPhone 13 (128GB),11990000.0,No,0.982142984867096,iPhone 16e 128GB,12490000.0,Yes,0.968757688999176,iPhone 13 128GB Chính Hãng (VN/A),12190000.0,Yes,0.9544110894203186,iPhone 13 128GB,12490000.0,Yes,1.0000001192092896
iPhone 14 128GB,Xanh dương,13590000,Yes,iPhone 14 128GB Xanh dương,iPhone 14 128GB,13590000.0,Yes,0.9936760663986206,iPhone 14 (128GB),13490000.0,No,0.9757184386253357,iPhone 16e 128GB,12490000.0,Yes,0.9524814486503601,iPhone 14 128GB Chính hãng (VN/A),13490000.0,Yes,0.9611352682113647,iPhone 14 128GB,13890000.0,Yes,0.9773775935173035
iPhone 16e 128GB,Đen,15190000,Yes,iPhone 16e 128GB Đen,iPhone 16e 128GB,12490000.0,Yes,1.0000001192092896,iPhone 16e (128GB),15250000.0,No,0.9869585633277893,iPhone 16e 128GB,12490000.0,Yes,1.0000001192092896,iPhone 17 256GB Chính Hãng,24990000.0,No,0.9631823897361755,iPhone 16e 128GB,15190000.0,Yes,0.9999998807907104
iPhone 16 Pro Max 256GB,Titan Trắng,31590000,No,iPhone 16 Pro Max 256GB Titan Trắng,Điện thoại iPhone 16 Pro Max 256GB,31590000.0,No,0.9941317439079285,iPhone 16 Pro Max (256GB),30490000.0,Yes,0.9903464913368225,iPhone 16 Pro Max 256GB,30890000.0,Yes,0.9798938035964966,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.959260880947113,iPhone 16 Pro Max 256GB,31590000.0,Yes,0.9798938035964966
iPhone 16 Pro 128GB,Titan Đen,25490000,Yes,iPhone 16 Pro 128GB Titan Đen,iPhone 16 Pro 128GB,25790000.0,No,1.0000003576278687,iPhone 16 Pro (128GB),24990000.0,Yes,0.9832667708396912,iPhone 16 Pro 128GB,24990000.0,Yes,1.0000003576278687,iPhone 16 Pro Max 1TB Chính Hãng (VN/A),42590000.0,Yes,0.8873964548110962,iPhone 16 Pro 128GB,25590000.0,Yes,0.9932268261909485
